;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89
83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0060885;HMDB0013696;HMDB0034127;HMDB0248775;HMDB0244553;HMDB0038902;HMDB0032805;HMDB0246250;HMDB0301749;HMDB0242721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0247536;HMDB0001091;HMDB0250235;HMDB0253320;HMDB0249386;HMDB0246182;HMDB0246244;HMDB0247249;HMDB0252371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0253176;HMDB0004215;HMDB0059991;HMDB0257310;HMDB0015084;HMDB0246185;HMDB0030340;HMDB0257156;HMDB0247320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0244007;HMDB0244499;HMDB0246720;HMDB0249959;HMDB0252340;HMDB0244995;HMDB0030195;HMDB0249319;HMDB0035208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0257029;HMDB0260141;HMDB0246379;HMDB0000860;HMDB0060337;HMDB0247582;HMDB0030201;HMDB0032709;HMDB0252230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0244433;HMDB0249874;HMDB0030194;HMDB0245307;HMDB0061748;HMDB0246722;HMDB0040893;HMDB0254083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0252137;HMDB0248835;HMDB0248937;HMDB0244594;HMDB0060322;HMDB0255154;HMDB0244558;HMDB0255702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0254781;HMDB0013695;HMDB0244053;HMDB0062581;HMDB0060031;HMDB0243816;HMDB0033060;HMDB0246600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0257463;HMDB0249486;HMDB0003217;HMDB0245783;HMDB0248802;HMDB0249311;HMDB0256503;HMDB0247344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0259507;HMDB0004590;HMDB0247257;HMDB0012138;HMDB0243962;HMDB0256507;HMDB0014827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0015175;HMDB0061824;HMDB0060324;HMDB0059651;HMDB0247394;HMDB0248050;HMDB0247260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0248369;HMDB0257940;HMDB0243812;HMDB0254414;HMDB0249463;HMDB0248090;HMDB0247709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0259400;HMDB0247230;HMDB0012897;HMDB0251028;HMDB0247291;HMDB0246026;HMDB0252341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0246549;HMDB0243963;HMDB0061385;HMDB0244709;HMDB0254847;HMDB0032804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0059677;HMDB0248813;HMDB0033115;HMDB0252342;HMDB0061142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0059696;HMDB0248818;HMDB0035086;HMDB0258733;HMDB0249525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0258718;HMDB0249574;HMDB0252568;HMDB0247073;HMDB0254199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0243640;HMDB0247450;HMDB0258182;HMDB0029700;HMDB0014391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0255921;HMDB0247290;HMDB0033383;HMDB0041895;HMDB0251306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0030141;HMDB0246757;HMDB0061682;HMDB0035084;HMDB0250266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0041098;HMDB0248934;HMDB0014742;HMDB0255089;HMDB0250116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0012534;HMDB0252908;;HMDB0012468;HMDB0013989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0251659;HMDB0029346;;HMDB0250998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0254836;HMDB0035098;;HMDB0015684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
